,id,point,crowded_ratio,number_of_people,timestamp,location_group,stamp_timezone,id.1,ip_address,key,datapoint_id,latitude,longitude,geohash
122,34,0101000020E610000035E61A0BAF1E494027B8FD9710A02C40,2,2,1585035254.634,pharmacy,Europe/Prague,34,ee506e8856b4a8c56790d179a02e6e58e520f9ac6a4dc7729fa025614a8ec1dd,KSROMIEZF4IT3FLC4VPQQHUBYL1RRES4A5XNPXOV,34,50.2397169,14.3126266,u2fjv9
134,46,0101000020E6100000966A5501AD1E49403E810B0D1FA02C40,1,1,1585056154.71,pharmacy,Europe/Prague,46,4b6c3226525baba12ba18e9a138cc2abbc4a6609484c8835ad69814ebf7a2a74,AKSCIRXEPEU45VB1Q51RZSSOS4LLUG336OPXIMGB,46,50.2396547,14.3127369,u2fjv9
151,63,0101000020E61000007B10A738B31E4940A2FEC41220A02C40,1,0,1585112531.737,pharmacy,Europe/Prague,63,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,TVIQXCFJY14Q6316L54VNPMUUEEP91LQ0YSWH4NU,63,50.2398444,14.3127447,u2fjv9
156,68,0101000020E6100000A9AA2BFA9E1E494090E7E912C49B2C40,3,0,1585114030.854,playground,Europe/Prague,68,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,TVIQXCFJY14Q6316L54VNPMUUEEP91LQ0YSWH4NU,68,50.2392266,14.3042303,u2fjv9
281,290,0101000020E610000035289A07B01E4940CBEA67FBA19F2C40,3,0,1585375751.102,pharmacy,Europe/Prague,290,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,CIWUNPOYTZPOB2VX1UURMQ34NN3MUBLT5RI8K16W,290,50.239747,14.3117827,u2fjv9
288,297,0101000020E61000005ADF1B9EB91E494055A52DAEF19D2C40,1,0,1585378376.765,park,Europe/Prague,297,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,SGIKUMYNUMIFEW1ZL3UK456EE3PPQNCN3Q75FBFH,297,50.2400396,14.3084845,u2fjv9
431,440,0101000020E61000002B72E371AC1E4940E8A38CB800A02C40,2,1,1585557344.251,shop,Europe/Prague,440,fcfc383fc1f015392ce128d1cd7191c99df9bb1f02cfe05bd976b241420c5d77,TSHKQPFXMWDJB3CL9ZU53X54QZ1P5IU5FMW6REHJ,440,50.2396376,14.3125055,u2fjv9
