,id,point,crowded_ratio,number_of_people,timestamp,location_group,stamp_timezone,id.1,ip_address,key,datapoint_id,latitude,longitude,geohash
5,174,0101000020E6100000160D631C6D21494035745886DD982C40,1,0,1585240620.97,shop,Europe/Prague,174,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,HWFCUZMLG3UVFLAP6XW537Y0OC4DQ41FA4866ZN2,174,50.2611423,14.2985651,u2fjvm
124,36,0101000020E61000000173E3CC65214940E1A1DE420D992C40,2,1,1585035940.33,pharmacy,Europe/Prague,36,ee506e8856b4a8c56790d179a02e6e58e520f9ac6a4dc7729fa025614a8ec1dd,KSROMIEZF4IT3FLC4VPQQHUBYL1RRES4A5XNPXOV,36,50.2609192,14.2989293,u2fjvm
132,44,0101000020E61000007E0459AA66214940AF35A506E4982C40,1,1,1585054818.771,shop,Europe/Prague,44,4b6c3226525baba12ba18e9a138cc2abbc4a6609484c8835ad69814ebf7a2a74,BPOTYGSHRP23Q445ZNEYCZL18R3U0UKKQ7SQAZXO,44,50.2609456,14.2986147,u2fjvm
160,72,0101000020E6100000DA33F04861214940CB03A271F2982C40,1,1,1585114833.456,playground,Europe/Prague,72,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,TVIQXCFJY14Q6316L54VNPMUUEEP91LQ0YSWH4NU,72,50.2607814,14.2987247,u2fjvm
310,319,0101000020E6100000F3B281CF6A214940830C2E6700992C40,3,5,1585397943.494,shop,Europe/Prague,319,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,XJUIVTZA5RQ6O5KEU19Z5YH0Z5O4LQ8PZ3QPQCMC,319,50.2610721,14.2988312,u2fjvm
356,365,0101000020E610000076FEEDB25F214940E05229D1ED982C40,1,0,1585455016.541,shop,Europe/Prague,365,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,SDEQOUJFC5N1L5BUW3B7D4Q2U6PP4STGNB352TMJ,365,50.260733,14.2986894,u2fjvm
